SYMBOL,NAME,INDUSTRY,MARKET_CAP
ARAV,Aravive,Biotechnology,28238583
ARAY,Accuray,Health Care Equipment & Supplies,244997823
ARBE,Arbe Robotics,Software-Infrastructure,422413276
ARBG,Aequi Acquisition,Blank Check / SPAC,285487519
ARBK,Argo Blockchain,Capital Markets,289561950
ARC,ARC Document Solutions,Commercial Services & Supplies,128994894
ARCB,ArcBest,Road & Rail,2226506225
ARCC,Ares Capital,Capital Markets,10295773180
ARCE,Arco Platform,Diversified Consumer Services,946575793
ARCH,Arch Resources,"Oil, Gas & Consumable Fuels",2729902986
ARCK,Arbor Rapha Capital Bioholdings I,Blank Check / SPAC,217781260
ARCO,Arcos Dorados Holdings,"Hotels, Restaurants & Leisure",1554191225
ARCT,Arcturus Therapeutics Holdings,Biotechnology,452596092
ARDS,Aridis Pharmaceuticals,Biotechnology,40890696
ARDX,Ardelyx,Biotechnology,138275519
ARE,Alexandria Real Estate Equities,Equity Real Estate Investment Trusts ...,27244160960
AREC,American Resources,"Oil, Gas & Consumable Fuels",169480448
AREN,Arena Group Holdings,Internet Content & Information,188436864
ARES,Ares Management,Capital Markets,22403012565
ARGO,Argo Group International Holdings,Insurance,938132787
ARGU,Argus Capital,Blank Check / SPAC,383223638
ARGX,Argenx SE,Biotechnology,20600711106
ARHS,Arhaus,Home Improvement Retail,1110699645
ARI,Apollo Commercial Real Estate Finance,Mortgage Real Estate Investment Trust...,1803846654
ARIS,Aris Water Solutions,Utilities-Regulated Water,1598965362
ARIZ,Arisz Acquisition,Blank Check / SPAC,88034747
ARKO,ARKO Corp.,Specialty Retail,1162326009
ARKR,Ark Restaurants,"Hotels, Restaurants & Leisure",77583083
ARL,American Realty Investors,Real Estate Management & Development,233234880
ARLO,Arlo Technologies,"Electronic Equipment, Instruments & C...",627137149
ARLP,Alliance Resource Partners,"Oil, Gas & Consumable Fuels",2959827696
ARMK,Aramark,"Hotels, Restaurants & Leisure",9345208313
ARMP,Armata Pharmaceuticals,Biotechnology,153476429
ARNC,Arconic,Aerospace & Defense,2792460800
AROC,Archrock,Energy Equipment & Services,1226324984
AROW,Arrow Financial,Banks,554046441
ARQQ,Arqit Quantum,Software,727898172
ARQT,Arcutis Biotherapeutics,Biotechnology,1494455674
ARR,ARMOUR Residential REIT,Mortgage Real Estate Investment Trust...,886128573
ARRW,Arrowroot Acquisition,Blank Check / SPAC,354343740
ARRY,Array Technologies,Solar,3203447038
ARTE,Artemis Strategic Investment,Shell Companies,251562000
ARTL,Artelo Biosciences,Pharmaceuticals,10563312
ARTNA,Artesian Resources,Water Utilities,505907763
ARTW,Art's-Way Manufacturing Co.,Machinery,9929814
ARVL,Arrival,Automobiles,887150847
ARVN,Arvinas,Pharmaceuticals,2901817062
ARW,Arrow Electronics,"Electronic Equipment, Instruments & C...",7154569727
ARWR,Arrowhead Pharmaceuticals,Biotechnology,4829890006
ARYD,ARYA Sciences Acquisition IV,Blank Check / SPAC,189514633
ARYE,Arya Sciences Acquisition V,Blank Check / SPAC,187452105
ASA,ASA Gold and Precious Metals,Capital Markets,297836025
ASAI,Sendas Distribuidora,Food & Staples Retailing,4592429554
ASAN,Asana,Software,5192168437
ASAQ,Atlantic Street Acquisition,Blank Check / SPAC,311250009
